deal_id,vendedor,regiao,segmento,valor,status,data_criacao,data_fechamento,ciclo_dias
DEAL-0001,Bruno Costa,Norte,Mid-Market,44879.25,Won,2023-11-24,2023-12-23,29
DEAL-0002,Eva Martins,Centro-Oeste,PME,84078.15,Open,2023-02-22,2023-06-03,101
DEAL-0003,Ana Silva,Nordeste,PME,78276.52,Won,2023-01-16,2023-02-11,26
DEAL-0004,Eva Martins,Sudeste,PME,36963.89,Lost,2023-11-29,2024-03-12,104
DEAL-0005,Bruno Costa,Sudeste,PME,45291.34,Lost,2023-03-23,2023-07-05,104
DEAL-0006,Eva Martins,Sudeste,PME,127886.68,Won,2023-02-17,2023-04-21,63
DEAL-0007,Ana Silva,Nordeste,Enterprise,138732.83,Won,2023-08-24,2023-11-15,83
DEAL-0008,Bruno Costa,Sul,PME,57437.08,Open,2023-11-18,2024-02-20,94
DEAL-0009,Bruno Costa,Sul,Enterprise,147857.12,Open,2023-12-05,2024-01-18,44
DEAL-0010,Carla Souza,Sudeste,PME,57900.67,Lost,2023-05-23,2023-08-04,73
DEAL-0011,Ana Silva,Nordeste,Mid-Market,104114.41,Open,2023-12-10,2024-01-28,49
DEAL-0012,Diego Lima,Sudeste,Mid-Market,28693.36,Open,2023-03-29,2023-06-20,83
DEAL-0013,Ana Silva,Norte,PME,52021.0,Won,2023-12-19,2024-03-14,86
DEAL-0014,Eva Martins,Sudeste,PME,35592.51,Won,2023-06-11,2023-08-16,66
DEAL-0015,Diego Lima,Norte,Enterprise,137609.4,Lost,2023-12-02,2024-02-18,78
DEAL-0016,Eva Martins,Centro-Oeste,Mid-Market,83151.71,Open,2023-03-13,2023-04-28,46
DEAL-0017,Eva Martins,Centro-Oeste,PME,149642.95,Won,2023-07-24,2023-09-23,61
DEAL-0018,Diego Lima,Nordeste,PME,28197.39,Won,2023-01-25,2023-02-23,29
DEAL-0019,Carla Souza,Nordeste,PME,72867.23,Lost,2023-07-17,2023-09-18,63
DEAL-0020,Carla Souza,Sudeste,PME,133294.33,Won,2023-12-15,2024-03-31,107
DEAL-0021,Carla Souza,Nordeste,PME,5470.57,Won,2023-05-31,2023-08-09,70
DEAL-0022,Eva Martins,Nordeste,PME,48274.49,Open,2023-09-17,2023-10-15,28
DEAL-0023,Eva Martins,Sul,Mid-Market,83209.96,Open,2023-03-20,2023-05-21,62
DEAL-0024,Carla Souza,Norte,PME,139719.3,Won,2023-06-15,2023-08-31,77
DEAL-0025,Diego Lima,Sul,Mid-Market,17419.75,Open,2023-05-04,2023-07-30,87
DEAL-0026,Bruno Costa,Sudeste,Mid-Market,142293.06,Open,2023-03-06,2023-04-06,31
DEAL-0027,Bruno Costa,Sudeste,Enterprise,139692.46,Open,2023-11-07,2024-01-15,69
DEAL-0028,Diego Lima,Sul,PME,135444.04,Lost,2023-12-10,2024-03-17,98
DEAL-0029,Bruno Costa,Nordeste,PME,90304.76,Won,2023-04-26,2023-05-19,23
DEAL-0030,Ana Silva,Sul,Enterprise,13536.7,Open,2023-01-04,2023-01-28,24
DEAL-0031,Bruno Costa,Nordeste,PME,102001.78,Won,2023-02-06,2023-04-27,80
DEAL-0032,Diego Lima,Norte,PME,118769.82,Lost,2023-10-20,2024-01-16,88
DEAL-0033,Diego Lima,Sul,Mid-Market,66418.9,Lost,2023-02-19,2023-05-29,99
DEAL-0034,Carla Souza,Sul,PME,63380.09,Won,2023-12-01,2024-03-07,97
DEAL-0035,Bruno Costa,Sudeste,Enterprise,25326.43,Lost,2023-04-09,2023-05-18,39
DEAL-0036,Eva Martins,Sul,PME,129895.62,Lost,2023-05-08,2023-06-01,24
DEAL-0037,Bruno Costa,Norte,Enterprise,145504.46,Open,2023-11-30,2024-02-22,84
DEAL-0038,Ana Silva,Norte,Enterprise,63150.84,Won,2023-09-06,2023-11-21,76
DEAL-0039,Diego Lima,Sudeste,Enterprise,118690.24,Won,2023-01-02,2023-03-07,64
DEAL-0040,Diego Lima,Norte,PME,85586.41,Open,2023-12-23,2024-04-09,108
DEAL-0041,Eva Martins,Sul,Mid-Market,88981.14,Open,2023-06-01,2023-07-13,42
DEAL-0042,Eva Martins,Norte,PME,74134.33,Won,2023-06-10,2023-07-02,22
DEAL-0043,Ana Silva,Norte,Enterprise,14935.59,Open,2023-09-18,2023-10-13,25
DEAL-0044,Eva Martins,Sul,Enterprise,91205.28,Won,2023-03-03,2023-05-29,87
DEAL-0045,Carla Souza,Norte,Mid-Market,50873.63,Lost,2023-12-03,2024-03-01,89
DEAL-0046,Carla Souza,Centro-Oeste,Enterprise,23977.35,Won,2023-06-10,2023-07-25,45
DEAL-0047,Ana Silva,Sul,Mid-Market,149775.89,Lost,2023-02-07,2023-02-23,16
DEAL-0048,Ana Silva,Norte,Enterprise,140322.61,Won,2023-04-20,2023-07-08,79
DEAL-0049,Carla Souza,Nordeste,Mid-Market,83766.6,Lost,2023-05-26,2023-06-30,35
DEAL-0050,Ana Silva,Norte,Enterprise,85417.33,Open,2023-09-28,2023-10-14,16
DEAL-0051,Carla Souza,Nordeste,PME,27539.95,Open,2023-03-01,2023-03-29,28
DEAL-0052,Eva Martins,Centro-Oeste,Enterprise,128672.36,Open,2023-06-25,2023-08-05,41
DEAL-0053,Ana Silva,Sul,Enterprise,125255.47,Lost,2023-01-27,2023-02-22,26
DEAL-0054,Diego Lima,Nordeste,Mid-Market,28429.39,Open,2023-03-08,2023-06-12,96
DEAL-0055,Bruno Costa,Nordeste,PME,15910.36,Won,2023-08-07,2023-11-01,86
DEAL-0056,Ana Silva,Sudeste,Enterprise,67319.07,Lost,2023-07-09,2023-10-06,89
DEAL-0057,Ana Silva,Sudeste,Mid-Market,41181.81,Won,2023-01-21,2023-03-22,60
DEAL-0058,Bruno Costa,Norte,PME,139235.75,Open,2023-07-28,2023-10-30,94
DEAL-0059,Diego Lima,Norte,Enterprise,139050.66,Won,2023-07-31,2023-08-18,18
DEAL-0060,Ana Silva,Centro-Oeste,PME,60468.55,Open,2023-03-23,2023-07-16,115
DEAL-0061,Bruno Costa,Norte,PME,55700.47,Open,2023-04-13,2023-08-10,119
DEAL-0062,Ana Silva,Sudeste,Enterprise,45397.44,Lost,2023-12-04,2024-01-12,39
DEAL-0063,Eva Martins,Sudeste,PME,147266.7,Lost,2023-11-25,2024-02-13,80
DEAL-0064,Carla Souza,Sul,PME,144567.48,Won,2023-03-01,2023-04-18,48
DEAL-0065,Diego Lima,Nordeste,Mid-Market,119032.09,Won,2023-11-02,2024-01-11,70
DEAL-0066,Ana Silva,Centro-Oeste,PME,32561.42,Open,2023-03-01,2023-05-04,64
DEAL-0067,Bruno Costa,Sudeste,Enterprise,109317.35,Lost,2023-09-24,2024-01-20,118
DEAL-0068,Ana Silva,Sudeste,Mid-Market,95357.53,Open,2023-02-05,2023-05-16,100
DEAL-0069,Carla Souza,Nordeste,PME,63348.06,Lost,2023-06-08,2023-09-16,100
DEAL-0070,Bruno Costa,Nordeste,Mid-Market,59976.07,Open,2023-04-09,2023-06-16,68
DEAL-0071,Carla Souza,Norte,Enterprise,5058.86,Lost,2023-06-04,2023-08-09,66
DEAL-0072,Diego Lima,Norte,Mid-Market,72423.29,Open,2023-10-24,2024-01-24,92
DEAL-0073,Bruno Costa,Sul,Enterprise,120423.59,Open,2023-08-31,2023-12-25,116
DEAL-0074,Bruno Costa,Sudeste,PME,53602.3,Lost,2023-09-21,2023-12-29,99
DEAL-0075,Diego Lima,Nordeste,PME,40502.17,Won,2023-04-12,2023-05-15,33
